id,position,multiplier,is_captain,is_vice_captain
318,10,1,False,True
427,11,2,True,False
548,12,0,False,False
461,13,0,False,False
370,14,0,False,False
253,15,0,False,False
254,1,1,False,False
280,2,1,False,False
475,3,1,False,False
299,4,1,False,False
29,5,1,False,False
261,6,1,False,False
369,7,1,False,False
293,8,1,False,False
80,9,1,False,False
318,10,2,True,False
427,11,1,False,True
327,12,0,False,False
335,13,0,False,False
146,14,0,False,False
10,15,0,False,False
376,1,1,False,False
43,2,1,False,True
306,3,1,False,False
146,4,1,False,False
436,5,1,False,False
358,6,1,False,False
301,7,1,False,False
465,8,1,False,False
261,9,1,False,False
283,10,3,True,False
28,11,1,False,False
254,12,0,False,False
480,13,0,False,False
237,14,0,False,False
380,15,0,False,False
376,1,1,False,False
43,2,1,False,False
306,3,1,False,False
146,4,1,False,False
461,5,1,False,False
480,6,1,False,False
301,7,2,True,False
465,8,1,False,False
261,9,1,False,False
283,10,1,False,True
28,11,1,False,False
254,12,0,False,False
436,13,0,False,False
237,14,0,False,False
380,15,0,False,False
254,1,1,False,False
436,2,1,False,False
306,3,1,False,False
146,4,1,False,False
461,5,1,False,False
195,6,1,False,False
301,7,2,True,False
465,8,1,False,False
261,9,1,False,False
283,10,1,False,True
28,11,1,False,False
376,12,0,False,False
43,13,0,False,False
237,14,0,False,False
380,15,0,False,False
113,1,1,False,False
526,2,1,False,False
109,3,1,False,False
106,4,1,False,False
85,5,1,False,False
285,6,1,False,False
293,7,1,False,False
301,8,1,False,True
283,9,2,True,False
427,10,1,False,False
28,11,1,False,False
254,12,0,False,False
365,13,0,False,False
383,14,0,False,False
219,15,0,False,False
478,1,1,False,False
477,2,1,False,False
285,3,1,False,False
235,4,1,False,False
225,5,1,False,True
111,6,1,False,False
293,7,1,False,False
589,8,1,False,False
318,9,2,True,False
28,10,1,False,False
427,11,1,False,False
376,12,0,False,False
146,13,0,False,False
106,14,0,False,False
88,15,0,False,False
478,1,1,False,False
106,2,1,False,False
285,3,1,False,False
477,4,1,False,False
589,5,1,False,False
111,6,1,False,False
293,7,1,False,False
335,8,1,False,True
427,9,2,True,False
318,10,1,False,False
28,11,1,False,False
376,12,1,False,False
88,13,1,False,False
235,14,1,False,False
146,15,1,False,False
376,1,1,False,False
106,2,1,False,False
285,3,1,False,False
26,4,1,False,False
235,5,1,False,False
111,6,1,False,False
293,7,1,False,False
335,8,1,False,True
427,9,1,False,False
318,10,2,True,False
28,11,1,False,False
478,12,0,False,False
146,13,0,False,False
589,14,0,False,False
88,15,0,False,False
376,1,1,False,False
357,2,1,False,True
26,3,1,False,False
146,4,1,False,False
88,5,1,False,False
589,6,1,False,False
293,7,1,False,False
335,8,1,False,False
427,9,2,True,False
318,10,1,False,False
28,11,1,False,False
478,12,0,False,False
235,13,0,False,False
111,14,0,False,False
106,15,0,False,False
376,1,1,False,False
357,2,1,False,True
235,3,1,False,False
146,4,1,False,False
88,5,1,False,False
111,6,1,False,False
293,7,1,False,False
261,8,2,True,False
427,9,1,False,False
318,10,1,False,False
28,11,1,False,False
478,12,0,False,False
26,13,0,False,False
589,14,0,False,False
106,15,0,False,False
307,1,1,False,False
448,2,1,False,False
285,3,1,False,False
146,4,1,False,False
19,5,1,False,False
29,6,1,False,False
335,7,1,False,False
283,8,1,False,True
318,9,2,True,False
28,10,1,False,False
80,11,1,False,False
254,12,0,False,False
295,13,0,False,False
346,14,0,False,False
253,15,0,False,False
307,1,1,False,False
448,2,1,False,False
285,3,1,False,False
146,4,1,False,False
19,5,1,False,False
29,6,1,False,False
335,7,1,False,False
283,8,1,False,True
318,9,2,True,False
28,10,1,False,False
80,11,1,False,False
254,12,0,False,False
295,13,0,False,False
346,14,0,False,False
253,15,0,False,False
307,1,1,False,False
448,2,1,False,False
285,3,1,False,False
146,4,1,False,False
19,5,1,False,False
7,6,1,False,False
368,7,1,False,False
283,8,1,False,True
318,9,2,True,False
28,10,1,False,False
80,11,1,False,False
254,12,0,False,False
295,13,0,False,False
346,14,0,False,False
253,15,0,False,False
307,1,1,False,False
448,2,1,False,False
285,3,1,False,False
146,4,1,False,False
368,5,1,False,False
19,6,1,False,False
7,7,1,False,False
283,8,1,False,True
318,9,2,True,False
28,10,1,False,False
80,11,1,False,False
254,12,0,False,False
346,13,0,False,False
295,14,0,False,False
197,15,0,False,False
307,1,1,False,False
448,2,1,False,False
285,3,1,False,False
106,4,1,False,False
19,5,1,False,False
7,6,1,False,False
346,7,1,False,False
283,8,1,False,True
28,9,1,False,False
80,10,1,False,False
318,11,3,True,False
254,12,0,False,False
368,13,0,False,False
146,14,0,False,False
295,15,0,False,False
307,1,1,False,False
448,2,1,False,False
285,3,1,False,False
146,4,1,False,False
335,5,1,False,False
19,6,1,False,False
7,7,1,False,False
283,8,1,False,True
318,9,2,True,False
28,10,1,False,False
80,11,1,False,False
254,12,0,False,False
346,13,0,False,False
106,14,0,False,False
295,15,0,False,False
307,1,1,False,False
357,2,1,False,False
285,3,1,False,False
146,4,1,False,False
335,5,1,False,False
19,6,1,False,False
7,7,1,False,False
283,8,1,False,True
318,9,2,True,False
28,10,1,False,False
80,11,1,False,False
254,12,1,False,False
346,13,1,False,False
106,14,1,False,False
295,15,1,False,False
307,1,1,False,False
357,2,1,False,False
306,3,1,False,False
448,4,1,False,False
194,5,1,False,False
19,6,1,False,False
195,7,1,False,False
428,8,1,False,True
28,9,1,False,False
80,10,1,False,False
318,11,2,True,False
254,12,0,False,False
7,13,0,False,False
346,14,0,False,False
295,15,0,False,False
307,1,1,False,False
357,2,1,False,False
285,3,1,False,False
146,4,1,False,False
311,5,1,False,False
19,6,1,False,False
7,7,1,False,False
283,8,1,False,True
318,9,2,True,False
28,10,1,False,False
80,11,1,False,False
254,12,0,False,False
346,13,0,False,False
106,14,0,False,False
295,15,0,False,False
478,1,1,False,False
306,2,1,False,False
313,3,1,False,False
285,4,1,False,True
357,5,1,False,False
293,6,1,False,False
335,7,1,False,False
19,8,1,False,False
28,9,1,False,False
427,10,2,True,False
318,11,1,False,False
254,12,0,False,False
486,13,0,False,False
346,14,0,False,False
197,15,0,False,False
478,1,1,False,False
306,2,1,False,False
313,3,1,False,False
285,4,1,False,True
357,5,1,False,False
293,6,1,False,False
335,7,1,False,False
19,8,1,False,False
28,9,1,False,False
427,10,2,True,False
318,11,1,False,False
254,12,0,False,False
486,13,0,False,False
346,14,0,False,False
197,15,0,False,False
478,1,1,False,False
306,2,1,False,False
313,3,1,False,False
285,4,1,False,True
357,5,1,False,False
293,6,1,False,False
